13-33	0.980	0.000	0.030	0.0	100.00	100.00	0.000	1
2-93	2.690	0.000	0.040	0.0	100.00	100.00	0.000	1
13-145	1.300	0.000	0.060	0.0	100.00	100.00	0.000	1
13-35	0.950	0.000	0.050	0.0	100.00	100.00	0.000	1
13-43	1.220	0.000	0.060	0.0	100.00	100.00	0.000	1
3-81	4.040	0.000	0.030	0.0	100.00	100.00	0.000	1
2-112	3.070	0.000	0.040	0.0	100.00	100.00	0.000	1
71-71	24.860	0.000	0.480	0.0	100.00	100.00	0.000	1
25-84	4.080	0.000	0.030	0.0	100.00	100.00	0.000	1
11-11	24.970	0.000	0.670	0.0	100.00	100.00	0.000	1
25-107	8.080	0.000	0.050	0.0	100.00	100.00	0.000	1
13-47	1.240	0.000	0.040	0.0	100.00	100.00	0.000	1
3-9	3.750	0.000	0.030	0.0	100.00	100.00	0.000	1
12-12	25.260	0.000	0.900	0.0	100.00	100.00	0.000	1
13-138	2.120	0.000	0.060	0.0	100.00	100.00	0.000	1
13-46	1.270	0.000	0.040	0.0	100.00	100.00	0.000	1
2-119	3.470	0.000	0.020	0.0	100.00	100.00	0.000	1
2-118	3.230	0.000	0.030	0.0	100.00	100.00	0.000	1
13-38	1.060	0.000	0.020	0.0	100.00	100.00	0.000	1
3-16	4.330	0.000	0.030	0.0	100.00	100.00	0.000	1
13-51	3.090	0.000	0.050	0.0	100.00	100.00	0.000	1
2-70	11.210	0.000	0.050	0.0	100.00	100.00	0.000	1
57-57	26.380	0.000	1.310	0.0	100.00	100.00	0.000	1
13-159	1.790	0.000	0.020	0.0	100.00	100.00	0.000	1
3-15	4.360	0.000	0.080	0.0	100.00	100.00	0.000	1
130-130	27.180	0.000	0.970	0.0	100.00	100.00	0.000	1
110-110	27.690	0.000	0.390	0.0	100.00	100.00	0.000	1
13-99	2.380	0.000	0.050	0.0	100.00	100.00	0.000	1
13-139	1.360	0.000	0.060	0.0	100.00	100.00	0.000	1
13-117	3.070	0.000	0.050	0.0	100.00	100.00	0.000	1
17-123	3.230	0.000	0.030	0.0	100.00	100.00	0.000	1
13-140	1.360	0.000	0.030	0.0	100.00	100.00	0.000	1
13-34	1.250	0.000	0.020	0.0	100.00	100.00	0.000	1
13-6	3.130	0.000	0.020	0.0	100.00	100.00	0.000	1
3-69	4.030	0.000	0.140	0.0	100.00	100.00	0.000	1
13-113	1.310	0.000	0.020	0.0	100.00	100.00	0.000	1
2-10	3.560	0.000	0.030	0.0	100.00	100.00	0.000	1
2-36	3.340	0.000	0.060	0.0	100.00	100.00	0.000	1
13-120	1.480	0.000	0.050	0.0	100.00	100.00	0.000	1
72-72	29.980	0.000	0.460	0.0	100.00	100.00	0.000	1
13-20	1.460	0.000	0.010	0.0	100.00	100.00	0.000	1
90-90	30.130	0.000	0.400	0.0	100.00	100.00	0.000	1
3-97	3.720	0.000	0.030	0.0	100.00	100.00	0.000	1
111-111	30.350	0.000	0.490	0.0	100.00	100.00	0.000	1
25-54	7.630	0.000	0.180	0.0	100.00	100.00	0.000	1
25-104	9.950	0.000	0.030	0.0	100.00	100.00	0.000	1
58-58	30.850	0.000	0.430	0.0	100.00	100.00	0.000	1
123-76	4.820	0.000	0.090	0.0	100.00	100.00	0.000	1
88-88	30.970	0.000	0.430	0.0	100.00	100.00	0.000	1
103-103	31.090	0.000	0.370	0.0	100.00	100.00	0.000	1
25-70	4.020	0.000	0.040	0.0	100.00	100.00	0.000	1
3-132	12.170	0.000	0.120	0.0	100.00	100.00	0.000	1
13-108	1.380	0.000	0.060	0.0	100.00	100.00	0.000	1
17-81	3.330	0.000	0.080	0.0	100.00	100.00	0.000	1
13-44	1.410	0.000	0.040	0.0	100.00	100.00	0.000	1
75-75	31.920	0.000	0.530	0.0	100.00	100.00	0.000	1
13-40	1.600	0.000	0.040	0.0	100.00	100.00	0.000	1
123-132	5.120	0.000	0.060	0.0	100.00	100.00	0.000	1
2-27	3.420	0.000	0.040	0.0	100.00	100.00	0.000	1
13-5	1.200	0.000	0.030	0.0	100.00	100.00	0.000	1
17-76	4.580	0.000	0.060	0.0	100.00	100.00	0.000	1
18-18	31.160	0.000	1.910	0.0	100.00	100.00	0.000	1
65-65	32.510	0.000	0.500	0.0	100.00	100.00	0.000	1
25-85	11.840	0.000	0.120	0.0	100.00	100.00	0.000	1
